batch,trial,timestamp,params,val_accuracy,test_accuracy,log_loss,brier,train_accuracy,overfit_gap,walk_forward_acc,cv_mean_acc,cv_std_acc,cv_min_acc,cv_max_acc,cv_stability_ratio,cv_mean_log_loss
100,8,2026-06-15T15:57:46.341989,"{'n_estimators': 811, 'max_depth': 11, 'learning_rate': 0.12106127030246706, 'subsample': 0.9070037187873456, 'colsample_bytree': 0.9709538979924828, 'reg_alpha': 0.0030482706515663296, 'reg_lambda': 0.1900994466844349, 'min_child_weight': 8, 'gamma': 0.4054620345206711, 'tree_method': 'hist', 'device': 'cpu'}",59.5825,57.784,0.9622,0.185,99.8918,42.1078,0.0,56.53,1.4764,54.8274,58.428,35.8604,0.9768
100,8,2026-06-15T15:57:59.444746,"{'n_estimators': 811, 'max_depth': 11, 'learning_rate': 0.12106127030246706, 'subsample': 0.9070037187873456, 'colsample_bytree': 0.9709538979924828, 'reg_alpha': 0.0030482706515663296, 'reg_lambda': 0.1900994466844349, 'min_child_weight': 8, 'gamma': 0.4054620345206711, 'tree_method': 'hist', 'device': 'cpu'}",59.5825,57.784,0.9622,0.185,99.8918,42.1078,0.0,56.53,1.4764,54.8274,58.428,35.8604,0.9768
100,9,2026-06-15T15:58:08.617850,"{'n_estimators': 1645, 'max_depth': 11, 'learning_rate': 0.1684991535557539, 'subsample': 0.8021820872016432, 'colsample_bytree': 0.5653654841732761, 'reg_alpha': 0.18953144021353868, 'reg_lambda': 0.0022443017335970743, 'min_child_weight': 4, 'gamma': 0.9323470857474213, 'tree_method': 'hist', 'device': 'cpu'}",5372.14,58.8562,0.9263,0.1806,97.4567,38.6005,0.0,56.2974,1.288,55.0459,58.0693,40.5594,0.943
100,9,2026-06-15T15:58:23.567238,"{'n_estimators': 1645, 'max_depth': 11, 'learning_rate': 0.1684991535557539, 'subsample': 0.8021820872016432, 'colsample_bytree': 0.5653654841732761, 'reg_alpha': 0.18953144021353868, 'reg_lambda': 0.0022443017335970743, 'min_child_weight': 4, 'gamma': 0.9323470857474213, 'tree_method': 'hist', 'device': 'cpu'}",5372.14,58.8562,0.9263,0.1806,97.4567,38.6005,0.0,56.2974,1.288,55.0459,58.0693,40.5594,0.943
1,0,2026-06-17T19:56:29.188761,"{'n_estimators': 416, 'max_depth': 4, 'learning_rate': 0.05262817118687823, 'subsample': 0.9694888620160322, 'colsample_bytree': 0.6701253482949276, 'reg_alpha': 0.0003530286907731756, 'reg_lambda': 0.012146847056835736, 'min_child_weight': 9, 'gamma': 0.906638108868945, 'tree_method': 'hist', 'device': 'cpu'}",0.8976,60.4845,0.8777,0.1717,,,0.0,58.6324,2.6271,55.1376,61.4715,21.5002,0.8976
1,1,2026-06-17T19:56:29.199266,"{'n_estimators': 812, 'max_depth': 12, 'learning_rate': 0.1205712628744377, 'subsample': 0.7993292420985183, 'colsample_bytree': 0.5780093202212182, 'reg_alpha': 0.000602521573620386, 'reg_lambda': 0.00019517224641449495, 'min_child_weight': 9, 'gamma': 0.6011150117432088, 'tree_method': 'hist', 'device': 'cpu'}",0.9118,59.6108,0.892,0.174,,,0.0,58.1002,2.7285,54.4638,61.0361,20.5411,0.9118
1,2,2026-06-17T19:56:29.206287,"{'n_estimators': 1446, 'max_depth': 3, 'learning_rate': 0.2708160864249968, 'subsample': 0.9162213204002109, 'colsample_bytree': 0.6061695553391381, 'reg_alpha': 0.0008111941985431928, 'reg_lambda': 0.0008260808399079611, 'min_child_weight': 4, 'gamma': 0.5247564316322378, 'tree_method': 'hist', 'device': 'cpu'}",0.8956,60.2462,0.878,0.1719,,,0.0,58.8656,2.8857,55.0814,62.081,19.7157,0.8956
1,3,2026-06-17T19:56:29.213936,"{'n_estimators': 921, 'max_depth': 5, 'learning_rate': 0.08012737503998542, 'subsample': 0.569746930326021, 'colsample_bytree': 0.6460723242676091, 'reg_alpha': 0.006789053271698486, 'reg_lambda': 0.019069966103000432, 'min_child_weight': 8, 'gamma': 0.19967378215835974, 'tree_method': 'hist', 'device': 'cpu'}",0.9009,60.2065,0.8803,0.172,,,0.0,58.6157,2.1819,55.6429,60.8185,25.6868,0.9009
1,4,2026-06-17T19:56:29.221827,"{'n_estimators': 1077, 'max_depth': 8, 'learning_rate': 0.011711509955524094, 'subsample': 0.8037724259507192, 'colsample_bytree': 0.5852620618436457, 'reg_alpha': 0.00021147447960615738, 'reg_lambda': 5.5517216852447255, 'min_child_weight': 10, 'gamma': 0.8083973481164611, 'tree_method': 'hist', 'device': 'cpu'}",0.9016,59.9285,0.8837,0.1725,,,0.0,58.6272,2.6641,55.1376,61.6021,21.2102,0.9016
1,5,2026-06-17T19:56:29.228780,"{'n_estimators': 679, 'max_depth': 3, 'learning_rate': 0.1024932221692416, 'subsample': 0.7200762468698007, 'colsample_bytree': 0.5610191174223894, 'reg_alpha': 0.029914693021302164, 'reg_lambda': 0.00014857392806279257, 'min_child_weight': 10, 'gamma': 0.2587799816000169, 'tree_method': 'hist', 'device': 'cpu'}",0.8957,60.3257,0.877,0.1715,,,0.0,58.764,2.2874,55.7552,61.2973,24.6141,0.8957
